127.0.0.1, 2017-04-20 17:47:09, GET, /, HTTP/1.1, 303, 0.407871
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/default/index, HTTP/1.1, 200, 0.611240
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001849
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000815
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000880
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001978
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000619
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001549
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000850
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001256
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000746
127.0.0.1, 2017-04-20 17:47:09, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001162
127.0.0.1, 2017-04-20 17:47:10, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000387
127.0.0.1, 2017-04-20 17:47:10, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000411
127.0.0.1, 2017-04-20 17:47:11, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001380
127.0.0.1, 2017-04-20 17:47:11, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001065
127.0.0.1, 2017-04-20 17:47:11, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.004035
127.0.0.1, 2017-04-20 17:47:11, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000868
127.0.0.1, 2017-04-20 17:47:33, GET, /admin/default/index, HTTP/1.1, 200, 0.293596
